mode,impact_category,unit,result_per_pkm
tram_green,Climate change (biogenic),kg CO2 eq,9.046461206747429e-05
tram_green,Climate change (fossil),kg CO2 eq,0.0037304996835101313
tram_green,Climate change (land use),kg CO2 eq,8.017746706289181e-05
tram_green,Ecotoxicity freshwater,CTUe,0.013460065893304795
tram_green,Ecotoxicity freshwater (inorganics),CTUe,0.013079407141946947
tram_green,Ecotoxicity freshwater (organics),CTUe,0.0003806587513578445
tram_green,Eutrophication freshwater,kg P eq,5.257939807237704e-06
tram_green,Eutrophication marine,kg N eq,3.4532685629583485e-06
tram_green,Eutrophication terrestrial,mol N eq,3.57804823229971e-05
tram_green,Human toxicity cancer,CTUh,3.6613297239308436e-12
tram_green,Human toxicity cancer (inorganics),CTUh,2.1177367716792115e-12
tram_green,Human toxicity cancer (organics),CTUh,1.5435929522516323e-12
tram_green,Human toxicity non-cancer,CTUh,1.6662990165252348e-10
